person_age,gender,city,urban_type,family_size,dependents,house_ownership,occupation,person_emp_length,income_seasonal,person_income,loan_intent,loan_amnt,loan_int_rate,loan_percent_income,loan_tenor_months,nepra_income_tier,utility_units_per_month,monthly_bill_pkr,bills_paid_ontime_12mo,bills_late_12mo,payment_streak_months,has_mobile_wallet,wallet_provider,mobile_txn_per_month,has_smartphone,peer_defaults,has_guarantor,cb_person_default_on_file,cb_cred_hist_length_years,is_unbanked,loan_status,data_source
50,male,Gujranwala,urban,3,1,family_home,Daily wage laborer,5.0,0,291312,medical_emergency,81102,30.3,0.278,9,very_low,67,937.0,6,6,4,0,None,0,0,4,0,N,3,0,1,synthetic_PK_calibrated
56,male,Peshawar,peri_urban,3,0,rent,Small shopkeeper,0.6,0,612504,home_repair,142815,22.3,0.233,24,lower_middle,255,10065.0,8,4,8,1,EasyPaisa,5,1,2,0,N,1,1,0,synthetic_PK_calibrated
22,male,Rawalpindi,urban,7,2,rent,Motorcycle mechanic,0.5,0,654480,home_repair,68749,30.4,0.105,3,lower_middle,287,11328.0,8,4,9,0,None,0,1,3,0,Y,0,1,0,synthetic_PK_calibrated
22,male,Gujranwala,urban,5,2,family_home,Construction worker,5.2,1,465924,home_repair,139479,28.2,0.299,9,low,140,3776.0,3,9,4,1,EasyPaisa,34,1,4,0,Y,0,0,1,synthetic_PK_calibrated
21,female,Gujranwala,urban,2,0,rent,Daily wage laborer,2.8,0,344232,livestock,107399,31.8,0.312,3,very_low,74,1035.0,5,7,3,1,EasyPaisa,24,1,3,0,Y,2,0,0,synthetic_PK_calibrated
56,male,Peshawar,peri_urban,8,1,rent,Daily wage laborer,1.4,0,369192,education,23316,26.4,0.063,9,very_low,93,1301.0,6,6,2,1,NayaPay,29,1,3,0,Y,1,0,1,synthetic_PK_calibrated
26,male,Rahim Yar Khan,rural_adjacent,6,3,own,Informal factory worker,0.6,0,294768,home_repair,149375,23.0,0.507,12,lower_middle,227,8960.0,9,3,7,1,JazzCash,5,1,5,0,Y,1,0,1,synthetic_PK_calibrated
30,female,Faisalabad,urban,4,2,family_home,Daily wage laborer,4.2,0,340344,education,99699,28.7,0.293,6,very_low,50,700.0,7,5,4,1,NayaPay,3,0,2,0,Y,2,0,1,synthetic_PK_calibrated
25,female,Lahore,urban,7,1,family_home,Home-based worker,2.6,0,148632,livestock,117036,20.5,0.787,18,very_low,75,1049.0,4,8,2,0,None,0,1,3,0,Y,2,1,1,synthetic_PK_calibrated
27,male,Sialkot,peri_urban,4,1,family_home,Small farmer,1.6,1,362004,inventory_purchase,66192,19.6,0.183,6,lower_middle,199,7855.0,6,6,5,0,None,0,1,3,1,N,3,1,0,synthetic_PK_calibrated
47,male,Peshawar,peri_urban,2,0,own,Small farmer,6.8,1,329352,education,32867,30.9,0.1,18,lower_middle,270,10657.0,5,7,2,0,None,0,1,2,0,N,3,1,0,synthetic_PK_calibrated
29,male,Gujranwala,urban,4,1,own,Informal factory worker,0.5,0,345120,working_capital,104108,27.0,0.302,12,lower_middle,249,9828.0,6,6,9,0,None,0,0,0,0,N,3,0,1,synthetic_PK_calibrated
41,male,Sialkot,peri_urban,8,1,family_home,Construction worker,2.6,1,337068,home_repair,100119,28.3,0.297,6,low,127,3425.0,3,9,2,0,None,0,1,3,0,Y,0,0,0,synthetic_PK_calibrated
42,female,Gujranwala,urban,8,0,family_home,Street food vendor,9.9,1,400200,medical_emergency,66715,26.2,0.167,12,low,200,5394.0,8,4,3,0,None,0,1,3,0,N,2,1,1,synthetic_PK_calibrated
38,female,Rahim Yar Khan,rural_adjacent,4,0,rent,Daily wage laborer,2.2,0,383412,livestock,105417,30.2,0.275,12,very_low,102,1427.0,5,7,1,1,EasyPaisa,17,1,5,1,N,1,0,0,synthetic_PK_calibrated
56,male,Lahore,urban,4,0,family_home,Small farmer,4.5,1,427860,education,131545,24.9,0.307,12,lower_middle,282,11131.0,8,4,7,1,JazzCash,20,0,3,0,N,1,1,0,synthetic_PK_calibrated
28,male,Multan,peri_urban,2,0,rent,Self-employed electrician,0.5,0,408804,equipment_purchase,28723,34.2,0.07,9,middle,308,14039.0,7,5,6,1,SadaPay,30,1,4,0,N,3,1,0,synthetic_PK_calibrated
44,female,Rahim Yar Khan,rural_adjacent,7,0,family_home,Rickshaw/bike driver,1.2,0,564432,equipment_purchase,42420,35.4,0.075,3,low,136,3668.0,3,9,6,0,None,0,0,3,1,Y,2,1,1,synthetic_PK_calibrated
23,male,Rawalpindi,urban,4,2,rent,Street food vendor,9.5,1,450576,home_repair,111553,19.1,0.248,6,low,101,2724.0,3,9,2,1,SadaPay,3,1,4,0,Y,0,0,1,synthetic_PK_calibrated
43,male,Bahawalpur,rural_adjacent,2,0,family_home,Daily wage laborer,2.0,0,225720,medical_emergency,138085,21.8,0.612,18,very_low,115,1609.0,3,9,5,1,SadaPay,23,1,3,0,Y,1,0,0,synthetic_PK_calibrated
38,male,Sialkot,peri_urban,7,2,own,Street food vendor,3.5,1,337908,medical_emergency,79255,32.6,0.235,6,low,141,3803.0,6,6,5,1,JazzCash,20,1,4,0,N,2,0,0,synthetic_PK_calibrated
52,male,Gujranwala,urban,3,1,family_home,Daily wage laborer,0.5,0,335628,home_repair,87597,18.0,0.261,6,very_low,82,1147.0,5,7,4,0,None,0,0,3,0,N,2,1,0,synthetic_PK_calibrated
31,male,Rahim Yar Khan,rural_adjacent,8,1,family_home,Small shopkeeper,9.2,0,449916,equipment_purchase,149434,34.8,0.332,9,lower_middle,317,12512.0,7,5,8,1,EasyPaisa,26,0,2,1,Y,3,0,0,synthetic_PK_calibrated
31,male,Bahawalpur,rural_adjacent,5,0,family_home,Small shopkeeper,1.4,0,417528,equipment_purchase,38123,35.9,0.091,6,lower_middle,271,10696.0,8,4,5,1,EasyPaisa,17,0,3,0,N,2,1,1,synthetic_PK_calibrated
21,male,Rawalpindi,urban,4,1,family_home,Motorcycle mechanic,4.6,0,654060,working_capital,114349,31.9,0.175,3,lower_middle,257,10144.0,7,5,10,1,EasyPaisa,27,0,2,0,N,3,0,0,synthetic_PK_calibrated
22,female,Sialkot,peri_urban,7,5,family_home,Motorcycle mechanic,1.0,0,566628,medical_emergency,41445,25.2,0.073,9,lower_middle,248,9789.0,8,4,9,1,JazzCash,3,1,3,0,N,3,0,0,synthetic_PK_calibrated
24,female,Multan,peri_urban,8,4,rent,Informal factory worker,2.5,0,292080,medical_emergency,104122,33.5,0.356,9,lower_middle,204,8052.0,6,6,7,1,JazzCash,4,1,3,1,Y,2,1,0,synthetic_PK_calibrated
22,male,Peshawar,peri_urban,7,0,rent,Rickshaw/bike driver,2.8,0,392484,working_capital,102247,31.8,0.261,12,low,149,4019.0,7,5,6,1,JazzCash,26,1,4,1,Y,2,0,1,synthetic_PK_calibrated
35,female,Peshawar,peri_urban,8,3,own,Informal factory worker,0.5,0,447180,education,100310,27.1,0.224,3,lower_middle,239,9433.0,8,4,5,1,JazzCash,24,0,1,0,Y,1,0,0,synthetic_PK_calibrated
32,female,Sialkot,peri_urban,8,1,own,Construction worker,7.5,1,417372,home_repair,67665,31.9,0.162,9,low,131,3533.0,5,7,4,1,NayaPay,21,1,3,1,N,1,0,0,synthetic_PK_calibrated
40,female,Rawalpindi,urban,7,2,family_home,Street food vendor,0.8,1,360000,inventory_purchase,75400,35.0,0.209,18,low,165,4450.0,3,9,5,1,SadaPay,7,1,3,0,Y,0,1,0,synthetic_PK_calibrated
51,male,Rahim Yar Khan,rural_adjacent,3,1,rent,Street food vendor,1.1,1,414804,medical_emergency,125721,34.5,0.303,3,low,162,4369.0,8,4,3,0,None,0,1,4,1,Y,1,1,1,synthetic_PK_calibrated
55,female,Lahore,urban,8,2,rent,Daily wage laborer,0.7,0,294552,home_repair,57389,29.5,0.195,6,very_low,78,1091.0,5,7,2,1,NayaPay,5,1,4,0,N,2,1,0,synthetic_PK_calibrated
29,male,Peshawar,peri_urban,5,3,rent,Daily wage laborer,0.8,0,258648,medical_emergency,43098,30.0,0.167,18,very_low,88,1231.0,2,10,2,1,JazzCash,11,0,2,1,Y,0,1,1,synthetic_PK_calibrated
54,male,Rawalpindi,urban,4,0,rent,Small shopkeeper,0.5,0,896844,working_capital,136841,31.0,0.153,18,lower_middle,222,8762.0,10,2,5,1,SadaPay,13,1,2,1,N,2,0,0,synthetic_PK_calibrated
46,male,Peshawar,peri_urban,3,1,family_home,Street food vendor,4.1,1,484116,inventory_purchase,58915,29.0,0.122,18,low,174,4693.0,6,6,2,0,None,0,1,3,0,Y,3,1,1,synthetic_PK_calibrated
27,male,Sialkot,peri_urban,4,0,rent,Small shopkeeper,2.0,0,806640,livestock,61411,32.6,0.076,12,lower_middle,277,10933.0,10,2,8,1,JazzCash,8,1,2,1,Y,1,1,0,synthetic_PK_calibrated
22,male,Multan,peri_urban,5,2,own,Home-based worker,1.9,0,271272,working_capital,14505,27.8,0.053,6,very_low,60,839.0,5,7,3,0,None,0,1,3,0,N,3,1,1,synthetic_PK_calibrated
34,male,Gujranwala,urban,5,2,rent,Domestic worker,0.5,0,335124,inventory_purchase,109292,35.5,0.326,9,very_low,77,1077.0,6,6,5,1,EasyPaisa,20,0,5,0,N,3,0,0,synthetic_PK_calibrated
48,male,Karachi,urban,6,3,own,Self-employed electrician,13.0,0,368844,equipment_purchase,117167,20.5,0.318,3,middle,285,12990.0,10,2,6,0,None,0,0,2,1,N,1,1,0,synthetic_PK_calibrated
44,male,Faisalabad,urban,3,1,rent,Street food vendor,0.5,1,346716,inventory_purchase,57021,27.1,0.164,12,low,147,3965.0,5,7,4,0,None,0,1,3,0,N,3,0,0,synthetic_PK_calibrated
48,male,Lahore,urban,3,1,own,Street food vendor,4.2,1,457260,working_capital,40010,30.3,0.087,6,low,112,3021.0,6,6,4,1,EasyPaisa,10,0,4,0,N,2,0,1,synthetic_PK_calibrated
20,male,Sialkot,peri_urban,5,3,rent,Construction worker,9.2,1,422820,education,112338,30.6,0.266,6,low,151,4072.0,5,7,5,1,SadaPay,8,1,0,0,N,3,0,0,synthetic_PK_calibrated
53,female,Bahawalpur,rural_adjacent,2,0,rent,Home-based worker,0.9,0,296712,working_capital,16539,34.5,0.056,18,very_low,66,923.0,5,7,4,1,SadaPay,28,1,4,0,Y,2,1,0,synthetic_PK_calibrated
24,male,Rahim Yar Khan,rural_adjacent,4,2,rent,Small farmer,0.5,1,220440,equipment_purchase,135000,31.1,0.612,3,lower_middle,246,9710.0,10,2,3,0,None,0,1,4,0,Y,2,1,1,synthetic_PK_calibrated
48,male,Lahore,urban,7,5,own,Small farmer,4.3,1,636384,working_capital,146222,25.6,0.23,12,lower_middle,284,11209.0,5,7,4,1,NayaPay,18,1,2,0,N,3,0,1,synthetic_PK_calibrated
24,female,Peshawar,peri_urban,7,1,rent,Rickshaw/bike driver,6.1,0,428436,home_repair,136204,24.8,0.318,6,low,130,3506.0,8,4,7,1,SadaPay,7,1,2,0,Y,0,0,1,synthetic_PK_calibrated
53,female,Karachi,urban,4,1,own,Domestic worker,2.3,0,279828,medical_emergency,94299,24.3,0.337,12,very_low,111,1553.0,5,7,5,1,JazzCash,4,1,2,0,N,1,0,0,synthetic_PK_calibrated
55,female,Lahore,urban,7,5,family_home,Rickshaw/bike driver,6.9,0,333492,education,107951,28.7,0.324,6,low,161,4342.0,6,6,6,0,None,0,1,3,1,N,0,1,0,synthetic_PK_calibrated
31,male,Lahore,urban,2,0,rent,Small farmer,2.1,1,534120,home_repair,89294,19.4,0.167,6,lower_middle,200,7894.0,8,4,4,1,NayaPay,18,0,5,0,N,2,0,0,synthetic_PK_calibrated
43,female,Gujranwala,urban,8,4,rent,Informal factory worker,6.4,0,352908,education,30596,21.4,0.087,18,lower_middle,210,8289.0,6,6,9,1,NayaPay,5,1,0,1,Y,3,1,0,synthetic_PK_calibrated
25,male,Sialkot,peri_urban,4,1,own,Rickshaw/bike driver,10.4,0,430728,home_repair,70480,19.6,0.164,3,low,206,5556.0,6,6,5,1,JazzCash,29,1,4,0,Y,0,0,0,synthetic_PK_calibrated
33,male,Karachi,urban,5,0,family_home,Daily wage laborer,0.5,0,381000,equipment_purchase,96141,30.5,0.252,18,very_low,66,923.0,4,8,2,0,None,0,1,4,0,Y,1,0,1,synthetic_PK_calibrated
39,male,Sialkot,peri_urban,2,0,family_home,Informal factory worker,3.4,0,294228,education,113684,18.9,0.386,6,lower_middle,245,9670.0,5,7,3,0,None,0,1,2,0,N,3,0,0,synthetic_PK_calibrated
40,male,Lahore,urban,2,0,own,Small shopkeeper,1.0,0,358500,education,80930,31.8,0.226,18,lower_middle,253,9986.0,11,1,8,0,None,0,1,0,1,N,1,0,0,synthetic_PK_calibrated
25,male,Sialkot,peri_urban,7,3,rent,Rickshaw/bike driver,5.8,0,375852,inventory_purchase,137659,27.9,0.366,18,low,137,3695.0,7,5,5,0,None,0,1,1,1,N,2,0,1,synthetic_PK_calibrated
34,female,Peshawar,peri_urban,4,2,rent,Small shopkeeper,0.5,0,475032,inventory_purchase,25369,25.9,0.053,3,lower_middle,271,10696.0,6,6,6,0,None,0,1,1,0,N,3,1,0,synthetic_PK_calibrated
20,female,Sialkot,peri_urban,8,4,family_home,Domestic worker,5.5,0,207408,livestock,49484,18.7,0.239,12,very_low,61,853.0,6,6,2,1,JazzCash,25,0,3,0,Y,2,1,1,synthetic_PK_calibrated
54,male,Rawalpindi,urban,7,1,rent,Motorcycle mechanic,3.0,0,387984,inventory_purchase,5055,29.0,0.013,6,lower_middle,310,12236.0,10,2,5,1,NayaPay,31,1,2,1,N,2,1,0,synthetic_PK_calibrated
39,male,Bahawalpur,rural_adjacent,2,0,rent,Small farmer,0.5,1,383280,equipment_purchase,5370,19.4,0.014,9,lower_middle,285,11249.0,7,5,4,1,EasyPaisa,8,1,3,0,N,0,1,0,synthetic_PK_calibrated
37,male,Faisalabad,urban,6,3,family_home,Small farmer,0.7,1,559668,working_capital,148956,25.8,0.266,9,lower_middle,267,10538.0,3,9,3,1,SadaPay,11,0,2,1,N,1,1,1,synthetic_PK_calibrated
25,male,Bahawalpur,rural_adjacent,6,0,own,Small shopkeeper,2.5,0,375144,medical_emergency,65148,33.9,0.174,6,lower_middle,249,9828.0,11,1,4,1,EasyPaisa,15,1,1,0,N,1,0,0,synthetic_PK_calibrated
48,male,Multan,peri_urban,3,0,own,Daily wage laborer,0.5,0,283692,working_capital,97476,24.0,0.344,12,very_low,114,1595.0,5,7,3,1,NayaPay,34,1,5,0,N,2,0,0,synthetic_PK_calibrated
53,male,Lahore,urban,4,0,rent,Daily wage laborer,4.0,0,260664,livestock,135993,31.9,0.522,24,very_low,80,1119.0,7,5,7,0,None,0,1,5,0,Y,3,1,1,synthetic_PK_calibrated
28,female,Rawalpindi,urban,7,5,rent,Self-employed electrician,14.8,0,369612,inventory_purchase,92948,25.0,0.251,12,middle,409,18642.0,11,1,7,1,JazzCash,9,0,3,1,N,0,1,0,synthetic_PK_calibrated
29,female,Bahawalpur,rural_adjacent,4,2,rent,Self-employed electrician,9.6,0,481692,working_capital,107544,30.4,0.223,9,middle,347,15816.0,8,4,7,0,None,0,1,1,0,Y,2,0,0,synthetic_PK_calibrated
44,female,Peshawar,peri_urban,5,2,family_home,Daily wage laborer,1.1,0,382188,working_capital,23847,24.1,0.062,9,very_low,115,1609.0,4,8,2,1,JazzCash,14,0,4,0,Y,2,1,1,synthetic_PK_calibrated
54,female,Faisalabad,urban,7,3,rent,Daily wage laborer,10.7,0,301032,equipment_purchase,101494,31.6,0.337,3,very_low,84,1175.0,5,7,4,0,None,0,0,5,1,Y,1,0,1,synthetic_PK_calibrated
50,female,Sialkot,peri_urban,2,0,rent,Rickshaw/bike driver,0.5,0,475716,home_repair,122026,29.7,0.257,24,low,113,3048.0,8,4,4,1,JazzCash,33,1,2,0,Y,3,0,0,synthetic_PK_calibrated
39,female,Multan,peri_urban,2,0,rent,Daily wage laborer,0.5,0,297528,medical_emergency,61176,26.6,0.206,6,very_low,97,1357.0,5,7,3,1,SadaPay,20,1,3,0,N,0,0,0,synthetic_PK_calibrated
36,female,Lahore,urban,4,2,rent,Daily wage laborer,1.0,0,233628,working_capital,135381,27.7,0.579,18,very_low,115,1609.0,4,8,6,1,JazzCash,13,0,3,0,Y,2,0,0,synthetic_PK_calibrated
33,female,Gujranwala,urban,8,6,rent,Motorcycle mechanic,4.3,0,494064,equipment_purchase,69222,24.8,0.14,12,lower_middle,225,8881.0,7,5,6,0,None,0,1,1,0,N,2,0,0,synthetic_PK_calibrated
24,male,Gujranwala,urban,7,4,family_home,Small farmer,6.5,1,325440,home_repair,77258,30.7,0.237,3,lower_middle,194,7657.0,7,5,6,1,SadaPay,19,1,3,0,N,1,1,0,synthetic_PK_calibrated
31,male,Multan,peri_urban,3,0,rent,Home-based worker,1.2,0,314928,medical_emergency,78535,31.5,0.249,24,very_low,51,713.0,6,6,1,1,JazzCash,29,1,3,0,Y,3,0,1,synthetic_PK_calibrated
52,male,Faisalabad,urban,3,1,own,Construction worker,4.4,1,507096,medical_emergency,148588,33.5,0.293,3,low,204,5502.0,5,7,6,0,None,0,0,3,0,N,2,0,0,synthetic_PK_calibrated
44,male,Lahore,urban,4,2,rent,Construction worker,1.4,1,392112,equipment_purchase,55575,18.3,0.142,12,low,193,5205.0,3,9,5,1,JazzCash,27,0,3,0,N,0,0,1,synthetic_PK_calibrated
27,male,Lahore,urban,6,1,family_home,Rickshaw/bike driver,14.4,0,442980,medical_emergency,137767,25.3,0.311,18,low,167,4504.0,6,6,6,0,None,0,0,4,1,Y,0,0,1,synthetic_PK_calibrated
47,male,Bahawalpur,rural_adjacent,8,4,family_home,Daily wage laborer,1.8,0,379944,working_capital,63643,23.6,0.168,6,very_low,96,1343.0,3,9,5,1,JazzCash,15,0,4,0,N,2,1,1,synthetic_PK_calibrated
56,female,Multan,peri_urban,3,0,own,Informal factory worker,0.5,0,505896,working_capital,6245,31.8,0.012,24,lower_middle,288,11367.0,9,3,6,0,None,0,1,3,1,Y,2,0,0,synthetic_PK_calibrated
28,female,Peshawar,peri_urban,4,2,rent,Construction worker,0.5,1,349152,education,118759,21.9,0.34,18,low,163,4396.0,5,7,1,0,None,0,1,3,0,N,2,1,0,synthetic_PK_calibrated
34,female,Rawalpindi,urban,3,1,rent,Domestic worker,3.5,0,297888,education,116451,23.0,0.391,18,very_low,100,1399.0,6,6,1,0,None,0,1,2,0,Y,1,1,0,synthetic_PK_calibrated
55,male,Karachi,urban,6,2,family_home,Informal factory worker,2.1,0,405540,equipment_purchase,69610,20.0,0.172,6,lower_middle,253,9986.0,7,5,6,1,JazzCash,7,1,2,0,Y,0,1,0,synthetic_PK_calibrated
38,male,Karachi,urban,7,5,family_home,Self-employed electrician,8.3,0,543852,equipment_purchase,133022,22.8,0.245,24,middle,362,16500.0,10,2,8,1,NayaPay,25,0,3,1,N,1,0,0,synthetic_PK_calibrated
41,male,Rahim Yar Khan,rural_adjacent,7,1,own,Self-employed electrician,0.5,0,553260,inventory_purchase,12928,29.0,0.023,24,middle,372,16956.0,7,5,8,0,None,0,1,3,0,Y,3,1,0,synthetic_PK_calibrated
49,male,Peshawar,peri_urban,2,0,family_home,Street food vendor,3.1,1,276072,education,137669,22.6,0.499,6,low,128,3452.0,5,7,5,0,None,0,1,4,0,N,0,1,0,synthetic_PK_calibrated
33,male,Karachi,urban,5,3,own,Daily wage laborer,1.5,0,361836,home_repair,5037,18.9,0.014,18,very_low,91,1273.0,5,7,6,1,SadaPay,14,0,2,0,Y,3,1,0,synthetic_PK_calibrated
43,male,Multan,peri_urban,2,0,rent,Small farmer,0.5,1,445248,working_capital,84803,23.3,0.19,18,lower_middle,310,12236.0,4,8,4,1,EasyPaisa,10,1,3,1,N,3,1,0,synthetic_PK_calibrated
34,female,Rahim Yar Khan,rural_adjacent,7,4,family_home,Daily wage laborer,1.8,0,291384,equipment_purchase,86678,19.2,0.297,9,very_low,114,1595.0,4,8,5,1,EasyPaisa,26,1,4,0,N,3,0,0,synthetic_PK_calibrated
40,male,Rawalpindi,urban,8,0,own,Rickshaw/bike driver,1.3,0,555876,home_repair,6509,26.5,0.012,9,low,211,5691.0,7,5,7,1,JazzCash,12,1,3,0,N,1,0,0,synthetic_PK_calibrated
36,female,Rahim Yar Khan,rural_adjacent,8,3,rent,Construction worker,4.9,1,272508,inventory_purchase,126292,27.3,0.463,9,low,199,5367.0,4,8,2,0,None,0,1,4,0,N,1,1,1,synthetic_PK_calibrated
32,male,Faisalabad,urban,7,5,family_home,Home-based worker,4.6,0,154848,equipment_purchase,102151,19.4,0.66,24,very_low,51,713.0,6,6,3,1,SadaPay,12,1,3,0,N,1,1,1,synthetic_PK_calibrated
36,female,Bahawalpur,rural_adjacent,6,2,rent,Informal factory worker,2.1,0,294780,education,148670,24.4,0.504,3,lower_middle,182,7184.0,3,9,4,0,None,0,1,3,0,Y,0,1,1,synthetic_PK_calibrated
34,female,Sialkot,peri_urban,5,2,own,Construction worker,4.2,1,405804,inventory_purchase,135833,21.9,0.335,18,low,178,4801.0,3,9,3,0,None,0,1,4,1,Y,3,0,1,synthetic_PK_calibrated
45,male,Rahim Yar Khan,rural_adjacent,2,0,rent,Daily wage laborer,5.6,0,286812,home_repair,66480,26.3,0.232,24,very_low,52,727.0,6,6,4,1,JazzCash,32,1,2,0,Y,0,0,1,synthetic_PK_calibrated
33,male,Peshawar,peri_urban,2,0,rent,Fruit/veg cart,1.8,0,264408,working_capital,41943,18.4,0.159,24,very_low,61,853.0,6,6,4,1,JazzCash,6,1,3,0,N,2,1,1,synthetic_PK_calibrated
47,male,Lahore,urban,2,0,family_home,Daily wage laborer,2.1,0,383184,medical_emergency,101748,24.1,0.266,24,very_low,118,1651.0,8,4,6,0,None,0,0,2,1,N,0,0,0,synthetic_PK_calibrated
53,female,Faisalabad,urban,3,1,family_home,Small shopkeeper,0.6,0,804384,livestock,21911,35.9,0.027,6,lower_middle,183,7223.0,10,2,5,0,None,0,1,2,1,N,0,0,0,synthetic_PK_calibrated
35,female,Bahawalpur,rural_adjacent,3,0,rent,Small shopkeeper,6.2,0,469020,inventory_purchase,41948,32.2,0.089,12,lower_middle,309,12196.0,9,3,9,1,NayaPay,23,1,3,1,Y,1,0,0,synthetic_PK_calibrated
36,female,Peshawar,peri_urban,4,2,family_home,Rickshaw/bike driver,7.1,0,567396,equipment_purchase,58251,27.5,0.103,6,low,125,3371.0,6,6,6,1,JazzCash,34,1,3,1,Y,0,1,0,synthetic_PK_calibrated
53,male,Peshawar,peri_urban,2,0,family_home,Street food vendor,3.9,1,374628,education,73666,30.7,0.197,9,low,163,4396.0,5,7,2,0,None,0,1,3,0,Y,3,0,1,synthetic_PK_calibrated
20,male,Lahore,urban,4,1,family_home,Construction worker,7.3,1,409440,livestock,66394,21.2,0.162,18,low,164,4423.0,9,3,3,1,JazzCash,6,1,2,0,Y,1,0,0,synthetic_PK_calibrated
44,female,Multan,peri_urban,5,0,family_home,Small farmer,2.4,1,227796,inventory_purchase,47722,24.3,0.209,24,lower_middle,270,10657.0,5,7,6,0,None,0,1,4,1,N,2,0,0,synthetic_PK_calibrated
22,female,Karachi,urban,7,1,own,Domestic worker,0.5,0,350040,equipment_purchase,5694,22.7,0.016,18,very_low,72,1007.0,6,6,6,0,None,0,1,3,0,N,0,0,0,synthetic_PK_calibrated
32,female,Peshawar,peri_urban,5,0,family_home,Daily wage laborer,5.6,0,236736,home_repair,42405,24.4,0.179,3,very_low,90,1259.0,5,7,1,0,None,0,0,3,0,Y,1,0,1,synthetic_PK_calibrated
37,male,Sialkot,peri_urban,2,0,family_home,Street food vendor,10.9,1,438444,home_repair,131812,27.0,0.301,6,low,176,4747.0,4,8,6,1,SadaPay,16,1,4,0,Y,2,1,0,synthetic_PK_calibrated
34,male,Faisalabad,urban,3,1,rent,Rickshaw/bike driver,2.1,0,444984,medical_emergency,49518,18.6,0.111,24,low,183,4936.0,5,7,3,1,NayaPay,15,1,3,1,N,1,1,0,synthetic_PK_calibrated
42,male,Multan,peri_urban,6,4,rent,Small shopkeeper,0.6,0,621228,working_capital,52655,19.0,0.085,9,lower_middle,303,11959.0,6,6,11,0,None,0,0,4,0,N,0,0,0,synthetic_PK_calibrated
40,male,Peshawar,peri_urban,7,3,rent,Street food vendor,4.4,1,416856,medical_emergency,6212,23.4,0.015,3,low,189,5097.0,6,6,8,1,EasyPaisa,26,1,4,0,N,2,0,0,synthetic_PK_calibrated
37,female,Bahawalpur,rural_adjacent,6,2,family_home,Informal factory worker,3.8,0,295092,equipment_purchase,96916,30.9,0.328,24,lower_middle,236,9315.0,3,9,5,0,None,0,0,2,1,N,2,1,0,synthetic_PK_calibrated
32,female,Rawalpindi,urban,5,3,rent,Small farmer,1.4,1,276084,medical_emergency,22152,25.1,0.08,18,lower_middle,186,7341.0,6,6,4,0,None,0,1,1,0,Y,3,1,0,synthetic_PK_calibrated
52,male,Gujranwala,urban,3,0,rent,Rickshaw/bike driver,2.4,0,534612,home_repair,118561,22.0,0.222,3,low,168,4531.0,8,4,6,0,None,0,1,4,0,N,3,0,0,synthetic_PK_calibrated
36,male,Karachi,urban,6,2,family_home,Informal factory worker,5.2,0,479304,education,78438,21.7,0.164,24,lower_middle,214,8447.0,9,3,5,1,SadaPay,33,1,4,0,N,1,0,0,synthetic_PK_calibrated
21,female,Rawalpindi,urban,4,1,own,Rickshaw/bike driver,3.8,0,469200,education,24515,23.3,0.052,9,low,106,2859.0,4,8,3,0,None,0,1,3,0,N,3,0,0,synthetic_PK_calibrated
25,male,Rahim Yar Khan,rural_adjacent,8,0,rent,Street food vendor,1.7,1,324300,equipment_purchase,28772,29.8,0.089,12,low,107,2886.0,6,6,5,1,JazzCash,3,0,3,1,N,0,1,0,synthetic_PK_calibrated
54,male,Peshawar,peri_urban,6,0,own,Domestic worker,11.6,0,298296,home_repair,6995,22.6,0.023,12,very_low,84,1175.0,5,7,4,0,None,0,1,3,0,N,1,0,1,synthetic_PK_calibrated
42,male,Bahawalpur,rural_adjacent,7,2,own,Street food vendor,8.5,1,429876,livestock,97508,25.4,0.227,3,low,100,2697.0,6,6,4,0,None,0,1,3,1,N,1,1,0,synthetic_PK_calibrated
52,male,Sialkot,peri_urban,6,3,rent,Small farmer,5.9,1,356292,working_capital,105591,29.5,0.296,3,lower_middle,313,12354.0,5,7,2,1,JazzCash,7,0,4,0,N,2,0,0,synthetic_PK_calibrated
55,male,Karachi,urban,7,2,family_home,Informal factory worker,3.7,0,345132,medical_emergency,145710,26.4,0.422,18,lower_middle,274,10815.0,5,7,4,1,NayaPay,30,1,5,1,N,2,0,0,synthetic_PK_calibrated
49,male,Multan,peri_urban,6,0,family_home,Daily wage laborer,2.9,0,229740,livestock,56667,26.7,0.247,18,very_low,90,1259.0,6,6,4,1,JazzCash,28,1,3,0,Y,2,0,1,synthetic_PK_calibrated
21,male,Karachi,urban,8,0,family_home,Street food vendor,1.2,1,280884,livestock,38583,32.8,0.137,6,low,124,3344.0,6,6,5,1,EasyPaisa,24,1,5,0,N,1,1,0,synthetic_PK_calibrated
21,female,Sialkot,peri_urban,8,2,rent,Small shopkeeper,0.9,0,471408,home_repair,142098,24.4,0.301,6,lower_middle,208,8210.0,8,4,6,1,SadaPay,9,0,1,1,Y,3,0,1,synthetic_PK_calibrated
36,male,Gujranwala,urban,8,2,rent,Small farmer,0.5,1,385740,medical_emergency,6055,34.4,0.016,18,lower_middle,241,9512.0,5,7,4,1,SadaPay,20,1,3,0,N,2,1,0,synthetic_PK_calibrated
40,female,Faisalabad,urban,8,0,family_home,Daily wage laborer,0.5,0,303264,education,41731,28.5,0.138,6,very_low,83,1161.0,6,6,2,1,JazzCash,23,1,2,0,Y,2,0,1,synthetic_PK_calibrated
